('default', [[2, 6], [10, 8], [7, 6], [9, 6], [11, 11], [4, 3], [5, 9], [1, 9], [0, 9], [6, 12], [3, 8], [8, 9], [7, -1], [5, -5], [6, 5], [4, -1], [2, -4], [0, 5], [1, 0], [3, 1]], 49.842999935150146)
[-6.06, 'move', [-3, -50, -31], [-31, 28, -42], [-51, -14, 28]]
[-6.05, 'move', [-3, -50, -31], [-39, 25, -36], [-44, -18, 35]]
[-6.02, 'move', [-3, -50, -31], [-46, 22, -30], [-37, -23, 40]]
[-5.98, 'move', [-3, -50, -31], [-52, 17, -22], [-28, -26, 45]]
[-5.97, 'move', [-3, -50, -31], [-56, 12, -14], [-18, -29, 48]]
[-5.94, 'move', [-3, -50, -31], [-59, 7, -5], [-8, -31, 50]]
[-5.92, 'move', [-3, -50, -31], [-59, 1, 3], [1, -31, 50]]
[-5.89, 'move', [-3, -50, -31], [-58, -3, 11], [12, -31, 49]]
[-5.86, 'move', [-3, -50, -31], [-55, -9, 20], [22, -30, 46]]
[-5.84, 'move', [-3, -50, -31], [-51, -14, 28], [31, -28, 42]]
[-5.81, 'move', [-3, -50, -31], [-44, -18, 35], [39, -25, 36]]
[-5.78, 'move', [3, -54, -24], [-44, -18, 35], [39, -16, 41]]
[-5.77, 'move', [10, -56, -17], [-44, -18, 35], [38, -6, 45]]
[-5.73, 'move', [16, -56, -9], [-44, -18, 35], [36, 3, 47]]
[-5.72, 'move', [22, -55, 0], [-44, -18, 35], [32, 12, 48]]
[-5.64, 'move', [22, -55, 0], [-38, -16, 43], [39, 16, 41]]
[-5.63, 'move', [22, -55, 0], [-30, -13, 49], [45, 18, 33]]
[-5.59, 'move', [22, -55, 0], [-22, -9, 54], [50, 20, 24]]
[-5.56, 'move', [22, -55, 0], [-13, -6, 58], [53, 22, 14]]
[-5.55, 'move', [22, -55, 0], [-3, -2, 59], [55, 22, 4]]
[-5.52, 'move', [22, -55, 0], [5, 1, 59], [55, 22, -6]]
[-5.50, 'move', [22, -55, 0], [15, 5, 57], [53, 22, -16]]
[-5.47, 'move', [22, -55, 0], [24, 9, 54], [49, 20, -26]]
[-5.44, 'move', [22, -55, 0], [32, 12, 48], [44, 18, -35]]
[-5.42, 'move', [22, -55, 0], [39, 16, 41], [38, 16, -43]]
[-5.39, 'move', [22, -55, 0], [45, 18, 33], [30, 13, -49]]
[-5.39, 'move', [17, -56, 7], [45, 18, 33], [34, 3, -48]]
[-5.36, 'move', [10, -56, 16], [45, 18, 33], [36, -6, -46]]
[-5.33, 'move', [4, -54, 24], [45, 18, 33], [38, -16, -43]]
[-5.22, 'move', [4, -54, 24], [51, 15, 25], [29, -19, -48]]
[-5.20, 'move', [4, -54, 24], [56, 12, 16], [20, -21, -52]]
[-5.17, 'move', [4, -54, 24], [58, 8, 7], [10, -23, -54]]
[-5.16, 'move', [4, -54, 24], [59, 3, -2], [0, -24, -54]]
[-5.13, 'move', [4, -54, 24], [58, 0, -11], [-10, -24, -53]]
[-5.09, 'move', [4, -54, 24], [56, -4, -20], [-20, -24, -50]]
[-5.08, 'move', [4, -54, 24], [51, -8, -29], [-30, -23, -46]]
[-4.89, 'move', [4, -54, 24], [45, -12, -36], [-38, -21, -40]]
[-4.86, 'move', [4, -54, 24], [38, -16, -43], [-45, -18, -33]]
[-4.83, 'move', [4, -54, 24], [29, -19, -48], [-51, -15, -25]]
[-4.81, 'move', [4, -54, 24], [20, -21, -52], [-56, -12, -16]]
[-4.78, 'move', [4, -54, 24], [10, -23, -54], [-58, -8, -7]]
[-4.75, 'move', [4, -54, 24], [0, -24, -54], [-59, -3, 2]]
[-4.73, 'move', [4, -54, 24], [-10, -24, -53], [-58, 0, 11]]
[-4.70, 'move', [4, -54, 24], [-20, -24, -50], [-56, 4, 20]]
[-4.69, 'move', [4, -54, 24], [-30, -23, -46], [-51, 8, 29]]
[-4.66, 'move', [4, -54, 24], [-38, -21, -40], [-45, 12, 36]]
[-4.63, 'move', [4, -54, 24], [-45, -18, -33], [-38, 16, 43]]
[-4.61, 'move', [4, -54, 24], [-51, -15, -25], [-29, 19, 48]]
[-4.58, 'move', [4, -54, 24], [-56, -12, -16], [-20, 21, 52]]
[-4.55, 'move', [4, -54, 24], [-58, -8, -7], [-10, 23, 54]]
[-4.53, 'move', [4, -54, 24], [-59, -3, 2], [0, 24, 54]]
[-4.50, 'move', [4, -54, 24], [-58, 0, 11], [10, 24, 53]]
[-4.48, 'move', [4, -54, 24], [-56, 4, 20], [20, 24, 50]]
[-4.45, 'move', [4, -54, 24], [-51, 8, 29], [30, 23, 46]]
[-4.42, 'move', [4, -54, 24], [-45, 12, 36], [38, 21, 40]]
[-4.41, 'move', [4, -54, 24], [-38, 16, 43], [45, 18, 33]]
[-4.38, 'move', [4, -54, 24], [-29, 19, 48], [51, 15, 25]]
[-4.34, 'move', [4, -54, 24], [-20, 21, 52], [56, 12, 16]]
[-4.33, 'move', [4, -54, 24], [-10, 23, 54], [58, 8, 7]]
[-4.30, 'move', [4, -54, 24], [0, 24, 54], [59, 3, -2]]
[-4.27, 'move', [4, -54, 24], [10, 24, 53], [58, 0, -11]]
[-4.25, 'move', [4, -54, 24], [20, 24, 50], [56, -4, -20]]
[-4.22, 'move', [4, -54, 24], [30, 23, 46], [51, -8, -29]]
[-4.20, 'move', [4, -54, 24], [38, 21, 40], [45, -12, -36]]
[-4.17, 'move', [4, -54, 24], [45, 18, 33], [38, -16, -43]]
[-4.14, 'move', [4, -54, 24], [51, 15, 25], [29, -19, -48]]
[-4.13, 'move', [4, -54, 24], [56, 12, 16], [20, -21, -52]]
[-4.09, 'move', [4, -54, 24], [58, 8, 7], [10, -23, -54]]
[-4.06, 'move', [4, -54, 24], [59, 3, -2], [0, -24, -54]]
[-4.05, 'move', [4, -54, 24], [58, 0, -11], [-10, -24, -53]]
[-3.77, 'move', [4, -54, 24], [59, 3, -2], [0, -24, -54]]
[-3.75, 'move', [4, -54, 24], [58, 8, 7], [10, -23, -54]]
[-3.72, 'move', [4, -54, 24], [56, 12, 16], [20, -21, -52]]
[-3.69, 'move', [4, -54, 24], [51, 15, 25], [29, -19, -48]]
[-3.67, 'move', [4, -54, 24], [45, 18, 33], [38, -16, -43]]
[-3.64, 'move', [4, -54, 24], [38, 21, 40], [45, -12, -36]]
[-3.61, 'move', [4, -54, 24], [30, 23, 46], [51, -8, -29]]
[-3.59, 'move', [4, -54, 24], [20, 24, 50], [56, -4, -20]]
[0.20, 'turn', 'B3']
[0.48, 'turn', 'R3']
[0.66, 'turn', 'R3']
[0.80, 'turn', 'B1']
[1.39, 'turn', 'B3']
[1.77, 'turn', 'F3']
[2.23, 'turn', 'F1']
[2.45, 'turn', 'D3']
[2.88, 'turn', 'F3']
[2.98, 'turn', 'R3']
[3.09, 'turn', 'R3']
[3.14, 'turn', 'F1']
[4.00, 'move', [4, -54, 24], [30, 23, 46], [51, -8, -29]]
[4.03, 'move', [4, -54, 24], [38, 21, 40], [45, -12, -36]]
[4.06, 'move', [4, -54, 24], [45, 18, 33], [38, -16, -43]]
[4.08, 'move', [4, -54, 24], [51, 15, 25], [29, -19, -48]]
[4.11, 'move', [4, -54, 24], [56, 12, 16], [20, -21, -52]]
[4.14, 'move', [4, -54, 24], [58, 8, 7], [10, -23, -54]]
[4.16, 'move', [4, -54, 24], [59, 3, -2], [0, -24, -54]]
[4.19, 'move', [4, -54, 24], [58, 0, -11], [-10, -24, -53]]
[4.20, 'move', [4, -54, 24], [56, -4, -20], [-20, -24, -50]]
[4.23, 'move', [4, -54, 24], [51, -8, -29], [-30, -23, -46]]
[4.27, 'move', [4, -54, 24], [45, -12, -36], [-38, -21, -40]]
[4.28, 'move', [4, -54, 24], [38, -16, -43], [-45, -18, -33]]
[4.31, 'move', [4, -54, 24], [29, -19, -48], [-51, -15, -25]]
[4.34, 'move', [4, -54, 24], [20, -21, -52], [-56, -12, -16]]
[4.36, 'move', [4, -54, 24], [10, -23, -54], [-58, -8, -7]]
[4.39, 'move', [4, -54, 24], [0, -24, -54], [-59, -3, 2]]
[4.42, 'move', [4, -54, 24], [-10, -24, -53], [-58, 0, 11]]
[4.44, 'move', [4, -54, 24], [-20, -24, -50], [-56, 4, 20]]
[4.72, 'move', [4, -54, 24], [-10, -24, -53], [-58, 0, 11]]
[4.73, 'move', [4, -54, 24], [0, -24, -54], [-59, -3, 2]]
[4.77, 'move', [4, -54, 24], [10, -23, -54], [-58, -8, -7]]
[4.78, 'move', [4, -54, 24], [20, -21, -52], [-56, -12, -16]]
[4.81, 'move', [4, -54, 24], [29, -19, -48], [-51, -15, -25]]
[4.84, 'move', [4, -54, 24], [38, -16, -43], [-45, -18, -33]]
[4.86, 'move', [4, -54, 24], [45, -12, -36], [-38, -21, -40]]
[4.89, 'move', [4, -54, 24], [51, -8, -29], [-30, -23, -46]]
[4.92, 'move', [4, -54, 24], [56, -4, -20], [-20, -24, -50]]
[4.94, 'move', [4, -54, 24], [58, 0, -11], [-10, -24, -53]]
[5.11, 'turn', 'D3']
[5.53, 'move', [4, -54, 24], [59, 3, -2], [0, -24, -54]]
[5.55, 'move', [4, -54, 24], [58, 8, 7], [10, -23, -54]]
[5.58, 'move', [4, -54, 24], [56, 12, 16], [20, -21, -52]]
[5.61, 'move', [4, -54, 24], [51, 15, 25], [29, -19, -48]]
[5.63, 'move', [4, -54, 24], [45, 18, 33], [38, -16, -43]]
[5.66, 'move', [4, -54, 24], [38, 21, 40], [45, -12, -36]]
[5.67, 'move', [4, -54, 24], [30, 23, 46], [51, -8, -29]]
[5.70, 'move', [4, -54, 24], [20, 24, 50], [56, -4, -20]]
[5.73, 'move', [4, -54, 24], [10, 24, 53], [58, 0, -11]]
[5.75, 'move', [4, -54, 24], [0, 24, 54], [59, 3, -2]]
[5.78, 'turn', 'B1']
[5.97, 'move', [4, -54, 24], [-10, 23, 54], [58, 8, 7]]
[6.00, 'move', [4, -54, 24], [-20, 21, 52], [56, 12, 16]]
[6.02, 'move', [4, -54, 24], [-29, 19, 48], [51, 15, 25]]
[6.05, 'move', [4, -54, 24], [-38, 16, 43], [45, 18, 33]]
[6.08, 'move', [4, -54, 24], [-45, 12, 36], [38, 21, 40]]
[6.09, 'move', [4, -54, 24], [-51, 8, 29], [30, 23, 46]]
[6.13, 'move', [4, -54, 24], [-56, 4, 20], [20, 24, 50]]
[6.14, 'move', [4, -54, 24], [-58, 0, 11], [10, 24, 53]]
[6.22, 'turn', 'U1']
[6.34, 'turn', 'R1']
[6.48, 'turn', 'R1']
[6.59, 'turn', 'U3']
[7.34, 'move', [4, -54, 24], [-56, 4, 20], [20, 24, 50]]
[7.36, 'move', [4, -54, 24], [-51, 8, 29], [30, 23, 46]]
[7.39, 'move', [4, -54, 24], [-45, 12, 36], [38, 21, 40]]
[7.42, 'move', [4, -54, 24], [-38, 16, 43], [45, 18, 33]]
[7.44, 'move', [4, -54, 24], [-29, 19, 48], [51, 15, 25]]
[7.47, 'move', [4, -54, 24], [-20, 21, 52], [56, 12, 16]]
[7.50, 'move', [4, -54, 24], [-10, 23, 54], [58, 8, 7]]
[7.52, 'move', [4, -54, 24], [0, 24, 54], [59, 3, -2]]
[7.55, 'move', [4, -54, 24], [10, 24, 53], [58, 0, -11]]
[7.56, 'move', [4, -54, 24], [20, 24, 50], [56, -4, -20]]
[7.59, 'move', [4, -54, 24], [30, 23, 46], [51, -8, -29]]
[7.63, 'move', [4, -54, 24], [38, 21, 40], [45, -12, -36]]
[7.64, 'move', [4, -54, 24], [45, 18, 33], [38, -16, -43]]
[7.67, 'move', [4, -54, 24], [51, 15, 25], [29, -19, -48]]
[7.70, 'move', [4, -54, 24], [56, 12, 16], [20, -21, -52]]
[7.95, 'move', [4, -54, 24], [51, 15, 25], [29, -19, -48]]
[7.97, 'move', [4, -54, 24], [45, 18, 33], [38, -16, -43]]
[8.00, 'move', [4, -54, 24], [38, 21, 40], [45, -12, -36]]
[8.03, 'move', [4, -54, 24], [30, 23, 46], [51, -8, -29]]
[8.05, 'move', [4, -54, 24], [20, 24, 50], [56, -4, -20]]
[8.08, 'move', [4, -54, 24], [10, 24, 53], [58, 0, -11]]
[8.14, 'turn', 'B3']
[8.44, 'turn', 'R3']
[8.56, 'turn', 'R3']
[8.78, 'move', [4, -54, 24], [0, 24, 54], [59, 3, -2]]
[8.80, 'move', [4, -54, 24], [-10, 23, 54], [58, 8, 7]]
[8.83, 'move', [4, -54, 24], [-20, 21, 52], [56, 12, 16]]
[8.86, 'move', [4, -54, 24], [-29, 19, 48], [51, 15, 25]]
[8.88, 'move', [4, -54, 24], [-38, 16, 43], [45, 18, 33]]
[8.91, 'move', [4, -54, 24], [-45, 12, 36], [38, 21, 40]]
[8.94, 'move', [4, -54, 24], [-51, 8, 29], [30, 23, 46]]
[8.95, 'move', [4, -54, 24], [-56, 4, 20], [20, 24, 50]]
