('default', [[2, 11], [9, 6], [7, 7], [6, 8], [0, 11], [5, 9], [4, 12], [1, 16], [11, 11], [10, 7], [3, 11], [8, 9], [6, 2], [7, 2], [1, 6], [2, 2], [3, -4], [4, -1], [5, -3], [0, 5]], 36.359999895095825)
[4.25, 'move', [43, 22, 34], [-39, 7, 44], [-12, 55, -20]]
[4.27, 'move', [49, 20, 26], [-30, 11, 50], [-12, 55, -20]]
[4.30, 'move', [54, 18, 16], [-21, 15, 53], [-12, 55, -20]]
[4.33, 'move', [57, 15, 7], [-12, 18, 55], [-12, 55, -20]]
[4.34, 'move', [58, 12, -2], [-1, 20, 56], [-12, 55, -20]]
[4.64, 'move', [57, 15, 7], [-12, 18, 55], [-12, 55, -20]]
[4.67, 'move', [54, 18, 16], [-21, 15, 53], [-12, 55, -20]]
[4.69, 'move', [49, 20, 26], [-30, 11, 50], [-12, 55, -20]]
[4.72, 'move', [43, 22, 34], [-39, 7, 44], [-12, 55, -20]]
[4.75, 'move', [36, 23, 41], [-46, 3, 38], [-12, 55, -20]]
[4.77, 'move', [27, 23, 47], [-51, 0, 30], [-12, 55, -20]]
[4.80, 'move', [18, 23, 52], [-55, -4, 21], [-12, 55, -20]]
[5.14, 'turn', 'U3']
[5.38, 'turn', 'B3']
[5.50, 'turn', 'B3']
[5.70, 'move', [15, 32, 47], [-55, -4, 21], [-15, 50, -29]]
[5.72, 'move', [12, 40, 41], [-55, -4, 21], [-17, 43, -37]]
[5.75, 'move', [9, 47, 34], [-55, -4, 21], [-19, 35, -43]]
[5.78, 'move', [6, 53, 26], [-55, -4, 21], [-21, 27, -49]]
[5.80, 'move', [2, 57, 17], [-55, -4, 21], [-21, 17, -53]]
[5.83, 'move', [-1, 59, 8], [-55, -4, 21], [-21, 7, -55]]
[5.86, 'move', [-5, 59, -1], [-55, -4, 21], [-21, -3, -55]]
[5.88, 'move', [-8, 58, -11], [-55, -4, 21], [-20, -13, -54]]
[5.91, 'move', [-12, 55, -20], [-55, -4, 21], [-18, -23, -52]]
[5.92, 'move', [-15, 50, -29], [-55, -4, 21], [-15, -32, -47]]
[5.95, 'move', [-17, 43, -37], [-55, -4, 21], [-12, -40, -41]]
[5.98, 'move', [-19, 35, -43], [-55, -4, 21], [-9, -47, -34]]
[6.00, 'move', [-21, 27, -49], [-55, -4, 21], [-6, -53, -26]]
[6.03, 'move', [-21, 17, -53], [-55, -4, 21], [-2, -57, -17]]
[6.06, 'move', [-21, 7, -55], [-55, -4, 21], [1, -59, -8]]
[6.08, 'move', [-21, -3, -55], [-55, -4, 21], [5, -59, 1]]
[6.61, 'move', [-30, -4, -51], [-51, -3, 30], [5, -59, 1]]
